"date","topology","bias","max_generations","max_per_generation","log"
"","","","","","Individuo 9 | Fitness 0.08905279613490234 | Fit Err 0.0039643097717608905"
"","","","","","Best fitness: 0.08663476740970832"
"","","","","","Geracao: 26 de 1000"
"","","","","","Individuo 0 | Fitness 0.08322886485751092 | Fit Err 0.0034626897340863335"
"","","","","","Individuo 1 | Fitness 0.08775676995717255 | Fit Err 0.0038497478189584797"
"","","","","","Individuo 2 | Fitness 0.08987722920324188 | Fit Err 0.0040380594423340055"
"","","","","","Individuo 3 | Fitness 0.09073645850039957 | Fit Err 0.004115645136012363"
"","","","","","Individuo 4 | Fitness 0.0830427335169477 | Fit Err 0.0034472174176482253"
"","","","","","Individuo 5 | Fitness 0.0865878935963466 | Fit Err 0.0037478658297901567"
"","","","","","Individuo 6 | Fitness 0.08157765263781985 | Fit Err 0.00332664097842202"
"","","","","","Individuo 7 | Fitness 0.09132894498378066 | Fit Err 0.00416957485647538"
"","","","","","Individuo 8 | Fitness 0.09174396398410566 | Fit Err 0.0042075600741185975"
"","","","","","Individuo 9 | Fitness 0.08686868011323208 | Fit Err 0.0037722151555063892"
"","","","","","Best fitness: 0.08157765263781985"
"","","","","","Geracao: 27 de 1000"
"","","","","","Individuo 0 | Fitness 0.08247836180480876 | Fit Err 0.0034005153493844205"
"","","","","","Individuo 1 | Fitness 0.08177079504105991 | Fit Err 0.0033424138028731037"
"","","","","","Individuo 2 | Fitness 0.0817203344571893 | Fit Err 0.003338289378552869"
"","","","","","Individuo 3 | Fitness 0.08251119051898598 | Fit Err 0.0034032232185250114"
"","","","","","Individuo 4 | Fitness 0.09603747398343233 | Fit Err 0.004610637879819387"
"","","","","","Individuo 5 | Fitness 0.07549045260019313 | Fit Err 0.0028486493623650013"
"","","","","","Individuo 6 | Fitness 0.08176149125332607 | Fit Err 0.003341653161071325"
"","","","","","Individuo 7 | Fitness 0.08439414315963653 | Fit Err 0.003560341808393017"
"","","","","","Individuo 8 | Fitness 0.08373638822418646 | Fit Err 0.0035050540425335943"
"","","","","","Individuo 9 | Fitness 0.0808260637417034 | Fit Err 0.0032656180793515337"
"","","","","","Best fitness: 0.07549045260019313"
"","","","","","Geracao: 28 de 1000"
"","","","","","Individuo 0 | Fitness 0.07197399559482243 | Fit Err 0.002589408330985811"
"","","","","","Individuo 1 | Fitness 0.07904967345804903 | Fit Err 0.0031236349901775104"
"","","","","","Individuo 2 | Fitness 0.08110118340720507 | Fit Err 0.0032878900131904855"
